iter	Passed	Remaining
0	0	93
1	1	87
2	2	87
3	3	84
4	4	84
5	5	85
6	6	86
7	7	87
8	8	87
9	9	87
10	10	87
11	11	87
12	12	85
13	13	85
14	14	84
15	15	83
16	16	81
17	17	81
18	18	79
19	19	78
20	20	76
21	21	75
22	22	74
23	23	73
24	24	72
25	25	71
26	26	70
27	27	69
28	27	68
29	28	67
30	29	66
31	30	65
32	31	63
33	32	62
34	33	61
35	34	60
36	35	59
37	36	58
38	36	57
39	37	56
40	38	55
41	39	53
42	40	53
43	40	52
44	41	50
45	42	50
46	43	49
47	44	48
48	45	47
49	46	46
50	47	45
51	48	44
52	48	43
53	49	42
54	50	41
55	51	40
56	52	39
57	52	38
58	53	37
59	54	36
60	56	35
61	56	34
62	57	33
63	58	32
64	59	32
65	60	31
66	61	30
67	61	29
68	62	28
69	63	27
70	64	26
71	65	25
72	66	24
73	67	23
74	68	22
75	68	21
76	69	20
77	70	19
78	71	19
79	72	18
80	73	17
81	74	16
82	75	15
83	75	14
84	76	13
85	77	12
86	78	11
87	79	10
88	80	9
89	80	8
90	81	8
91	82	7
92	83	6
93	84	5
94	85	4
95	86	3
96	87	2
97	87	1
98	88	0
99	89	0
